Serial No,Name,Type,Region
123,Scyther,Bug/Flying,Kanto
124,Jynx,Ice/Psychic,Kanto
125,Electabuzz,Electric,Kanto
126,Magmar,Fire,Kanto
127,Pinsir,Bug,Kanto
128,Tauros,Normal,Kanto
129,Magikarp,Water,Kanto
130,Gyarados,Water/Flying,Kanto
131,Lapras,Water/Ice,Kanto
132,Ditto,Normal,Kanto
133,Eevee,Normal,Kanto
134,Vaporeon,Water,Kanto
135,Jolteon,Electric,Kanto
136,Flareon,Fire,Kanto
137,Porygon,Normal,Kanto
138,Omanyte,Rock/Water,Kanto
139,Omastar,Rock/Water,Kanto
140,Kabuto,Rock/Water,Kanto
141,Kabutops,Rock/Water,Kanto
142,Aerodactyl,Rock/Flying,Kanto
143,Snorlax,Normal,Kanto
144,Articuno,Ice/Flying,Kanto
145,Zapdos,Electric/Flying,Kanto
146,Moltres,Fire/Flying,Kanto
147,Dratini,Dragon,Kanto
148,Dragonair,Dragon,Kanto
149,Dragonite,Dragon/Flying,Kanto
150,Mewtwo,Psychic,Kanto
151,Mew,Psychic,Kanto
152,Chikorita,Grass,Johto
153,Bayleef,Grass,Johto
154,Meganium,Grass,Johto
155,Cyndaquil,Fire,Johto
156,Quilava,Fire,Johto
157,Typhlosion,Fire,Johto
158,Totodile,Water,Johto
159,Croconaw,Water,Johto
160,Feraligatr,Water,Johto
161,Sentret,Normal,Johto
162,Furret,Normal,Johto
163,Hoothoot,Normal/Flying,Johto
164,Noctowl,Normal/Flying,Johto
165,Ledyba,Bug/Flying,Johto
166,Ledian,Bug/Flying,Johto
167,Spinarak,Bug/Poison,Johto
168,Ariados,Bug/Poison,Johto
169,Crobat,Poison/Flying,Johto
170,Chinchou,Water/Electric,Johto
171,Lanturn,Water/Electric,Johto
172,Pichu,Electric,Johto
173,Cleffa,Fairy,Johto
174,Igglybuff,Normal/Fairy,Johto
175,Togepi,Fairy,Johto
176,Togetic,Fairy/Flying,Johto
177,Natu,Psychic/Flying,Johto
178,Xatu,Psychic/Flying,Johto
179,Mareep,Electric,Johto
180,Flaaffy,Electric,Johto
181,Ampharos,Electric,Johto
182,Bellossom,Grass,Johto
183,Marill,Water/Fairy,Johto
184,Azumarill,Water/Fairy,Johto
185,Sudowoodo,Rock,Johto
186,Politoed,Water,Johto
187,Hoppip,Grass/Flying,Johto
188,Skiploom,Grass/Flying,Johto
189,Jumpluff,Grass/Flying,Johto
190,Aipom,Normal,Johto
191,Sunkern,Grass,Johto
192,Sunflora,Grass,Johto
193,Yanma,Bug/Flying,Johto
194,Wooper,Water/Ground,Johto
195,Quagsire,Water/Ground,Johto
196,Espeon,Psychic,Johto
197,Umbreon,Dark,Johto
198,Murkrow,Dark/Flying,Johto
199,Slowking,Water/Psychic,Johto
200,Misdreavus,Ghost,Johto
201,Unown,Psychic,Johto
202,Wobbuffet,Psychic,Johto
203,Girafarig,Normal/Psychic,Johto
204,Pineco,Bug,Johto
205,Forretress,Bug/Steel,Johto
206,Dunsparce,Normal,Johto
207,Gligar,Ground/Flying,Johto
208,Steelix,Steel/Ground,Johto
209,Snubbull,Fairy,Johto
210,Granbull,Fairy,Johto
211,Qwilfish,Water/Poison,Johto
212,Scizor,Bug/Steel,Johto
213,Shuckle,Bug/Rock,Johto
214,Heracross,Bug/Fighting,Johto
215,Sneasel,Dark/Ice,Johto
216,Teddiursa,Normal,Johto
217,Ursaring,Normal,Johto
218,Slugma,Fire,Johto
219,Magcargo,Fire/Rock,Johto
220,Swinub,Ice/Ground,Johto
221,Piloswine,Ice/Ground,Johto
222,Corsola,Water/Rock,Johto
223,Remoraid,Water,Johto
224,Octillery,Water,Johto
225,Delibird,Ice/Flying,Johto
226,Mantine,Water/Flying,Johto
227,Skarmory,Steel/Flying,Johto
228,Houndour,Dark/Fire,Johto
229,Houndoom,Dark/Fire,Johto
230,Kingdra,Water/Dragon,Johto
231,Phanpy,Ground,Johto
232,Donphan,Ground,Johto
233,Porygon2,Normal,Johto
234,Stantler,Normal,Johto
235,Smeargle,Normal,Johto
236,Tyrogue,Fighting,Johto
237,Hitmontop,Fighting,Johto
238,Smoochum,Ice/Psychic,Johto
239,Elekid,Electric,Johto
240,Magby,Fire,Johto
241,Miltank,Normal,Johto
242,Blissey,Normal,Johto
243,Raikou,Electric,Johto
244,Entei,Fire,Johto
245,Suicune,Water,Johto
246,Larvitar,Rock/Ground,Johto
247,Pupitar,Rock/Ground,Johto
248,Tyranitar,Rock/Dark,Johto
249,Lugia,Psychic/Flying,Johto
250,Ho-oh,Fire/Flying,Johto
251,Celebi,Psychic/Grass,Johto
252,Treecko,Grass,Hoenn
253,Grovyle,Grass,Hoenn
254,Sceptile,Grass,Hoenn
255,Torchic,Fire,Hoenn
256,Combusken,Fire/Fighting,Hoenn
257,Blaziken,Fire/Fighting,Hoenn
258,Mudkip,Water,Hoenn
259,Marshtomp,Water/Ground,Hoenn
260,Swampert,Water/Ground,Hoenn
261,Poochyena,Dark,Hoenn
262,Mightyena,Dark,Hoenn
263,Zigzagoon,Normal,Hoenn
264,Linoone,Normal,Hoenn
265,Wurmple,Bug,Hoenn
266,Silcoon,Bug,Hoenn
267,Beautifly,Bug/Flying,Hoenn
268,Cascoon,Bug,Hoenn
269,Dustox,Bug/Poison,Hoenn
270,Lotad,Water/Grass,Hoenn
271,Lombre,Water/Grass,Hoenn
272,Ludicolo,Water/Grass,Hoenn
273,Seedot,Grass,Hoenn
274,Nuzleaf,Grass/Dark,Hoenn
275,Shiftry,Grass/Dark,Hoenn
276,Taillow,Normal/Flying,Hoenn
277,Swellow,Normal/Flying,Hoenn
278,Wingull,Water/Flying,Hoenn
279,Pelipper,Water/Flying,Hoenn
280,Ralts,Psychic/Fairy,Hoenn
281,Kirlia,Psychic/Fairy,Hoenn
282,Gardevoir,Psychic/Fairy,Hoenn
283,Surskit,Bug/Water,Hoenn
284,Masquerain,Bug/Flying,Hoenn
285,Shroomish,Grass,Hoenn
286,Breloom,Grass/Fighting,Hoenn
287,Slakoth,Normal,Hoenn
288,Vigoroth,Normal,Hoenn
289,Slaking,Normal,Hoenn
290,Nincada,Bug/Ground,Hoenn
291,Ninjask,Bug/Flying,Hoenn
292,Shedinja,Bug/Ghost,Hoenn
293,Whismur,Normal,Hoenn
294,Loudred,Normal,Hoenn
295,Exploud,Normal,Hoenn
296,Makuhita,Fighting,Hoenn
297,Hariyama,Fighting,Hoenn
298,Azurill,Normal/Fairy,Hoenn
299,Nosepass,Rock,Hoenn
300,Skitty,Normal,Hoenn
301,Delcatty,Normal,Hoenn
302,Sableye,Dark/Ghost,Hoenn
303,Mawile,Steel/Fairy,Hoenn
304,Aron,Steel/Rock,Hoenn
305,Lairon,Steel/Rock,Hoenn
306,Aggron,Steel/Rock,Hoenn
307,Meditite,Fighting/Psychic,Hoenn
308,Medicham,Fighting/Psychic,Hoenn
309,Electrike,Electric,Hoenn
310,Manectric,Electric,Hoenn
311,Plusle,Electric,Hoenn
312,Minun,Electric,Hoenn
313,Volbeat,Bug,Hoenn
314,Illumise,Bug,Hoenn
315,Roselia,Grass/Poison,Hoenn
316,Gulpin,Poison,Hoenn
317,Swalot,Poison,Hoenn
318,Carvanha,Water/Dark,Hoenn
319,Sharpedo,Water/Dark,Hoenn
320,Wailmer,Water,Hoenn
321,Wailord,Water,Hoenn
322,Numel,Fire/Ground,Hoenn
323,Camerupt,Fire/Ground,Hoenn
324,Torkoal,Fire,Hoenn
325,Spoink,Psychic,Hoenn
326,Grumpig,Psychic,Hoenn
327,Spinda,Normal,Hoenn
328,Trapinch,Ground,Hoenn
329,Vibrava,Ground/Dragon,Hoenn
330,Flygon,Ground/Dragon,Hoenn
331,Cacnea,Grass,Hoenn
332,Cacturne,Grass/Dark,Hoenn
333,Swablu,Normal/Flying,Hoenn
334,Altaria,Dragon/Flying,Hoenn
335,Zangoose,Normal,Hoenn
336,Seviper,Poison,Hoenn
337,Lunatone,Rock/Psychic,Hoenn
338,Solrock,Rock/Psychic,Hoenn
339,Barboach,Water/Ground,Hoenn
340,Whiscash,Water/Ground,Hoenn
341,Corphish,Water,Hoenn
342,Crawdaunt,Water/Dark,Hoenn
343,Baltoy,Ground/Psychic,Hoenn
344,Claydol,Ground/Psychic,Hoenn
345,Lileep,Rock/Grass,Hoenn
346,Cradily,Rock/Grass,Hoenn
347,Anorith,Rock/Bug,Hoenn
348,Armaldo,Rock/Bug,Hoenn
349,Feebas,Water,Hoenn
350,Milotic,Water,Hoenn
351,Castform,Normal,Hoenn
352,Castform (Sunny Form),Fire,Hoenn
353,Castform (Rainy Form),Water,Hoenn
354,Castform (Snowy Form),Ice,Hoenn
355,Kecleon,Normal,Hoenn
356,Shuppet,Ghost,Hoenn
357,Banette,Ghost,Hoenn
358,Duskull,Ghost,Hoenn
359,Dusclops,Ghost,Hoenn
360,Tropius,Grass/Flying,Hoenn
361,Chimecho,Psychic,Hoenn
362,Absol,Dark,Hoenn
363,Wynaut,Psychic,Hoenn
364,Snorunt,Ice,Hoenn
365,Glalie,Ice,Hoenn
366,Spheal,Ice/Water,Hoenn
367,Sealeo,Ice/Water,Hoenn
368,Walrein,Ice/Water,Hoenn
369,Clamperl,Water,Hoenn
370,Huntail,Water,Hoenn
371,Gorebyss,Water,Hoenn
372,Relicanth,Water/Rock,Hoenn
373,Luvdisc,Water,Hoenn
374,Bagon,Dragon,Hoenn
375,Shelgon,Dragon,Hoenn
376,Salamence,Dragon/Flying,Hoenn
377,Beldum,Steel/Psychic,Hoenn
378,Metang,Steel/Psychic,Hoenn
379,Metagross,Steel/Psychic,Hoenn
380,Regirock,Rock,Hoenn
381,Regice,Ice,Hoenn
382,Registeel,Steel,Hoenn
383,Latias,Dragon/Psychic,Hoenn
384,Latios,Dragon/Psychic,Hoenn
385,Kyogre,Water,Hoenn
386,Groudon,Ground,Hoenn
387,Rayquaza,Dragon/Flying,Hoenn
388,Jirachi,Steel/Psychic,Hoenn
389,Deoxys (Normal Forme),Psychic,Hoenn
390,Deoxys (Attack Forme),Psychic,Hoenn
391,Deoxys (Defense Forme),Psychic,Hoenn
392,Deoxys (Speed Forme),Psychic,Hoenn
393,Turtwig,Grass,Sinnoh
394,Grotle,Grass,Sinnoh
395,Torterra,Grass/Ground,Sinnoh
396,Chimchar,Fire,Sinnoh
397,Monferno,Fire/Fighting,Sinnoh
398,Infernape,Fire/Fighting,Sinnoh
399,Piplup,Water,Sinnoh
400,Prinplup,Water,Sinnoh
401,Empoleon,Water/Steel,Sinnoh
402,Starly,Normal/Flying,Sinnoh
403,Staravia,Normal/Flying,Sinnoh
404,Staraptor,Normal/Flying,Sinnoh
405,Bidoof,Normal,Sinnoh
406,Bibarel,Normal/Water,Sinnoh
407,Kricketot,Bug,Sinnoh
408,Kricketune,Bug,Sinnoh
409,Shinx,Electric,Sinnoh
410,Luxio,Electric,Sinnoh
411,Luxray,Electric,Sinnoh
412,Budew,Grass/Poison,Sinnoh
413,Roserade,Grass/Poison,Sinnoh
414,Cranidos,Rock,Sinnoh
415,Rampardos,Rock,Sinnoh
416,Shieldon,Rock/Steel,Sinnoh
417,Bastiodon,Rock/Steel,Sinnoh
418,Burmy (Plant Cloak),Bug,Sinnoh
419,Burmy (Sandy Cloak),Bug,Sinnoh
420,Burmy (Trash Cloak),Bug,Sinnoh
421,Wormadam (Plant Cloak),Bug/Grass,Sinnoh
422,Wormadam (Sandy Cloak),Bug/Ground,Sinnoh
423,Wormadam (Trash Cloak),Bug/Steel,Sinnoh
424,Mothim,Bug/Flying,Sinnoh
425,Combee,Bug/Flying,Sinnoh
426,Vespiquen,Bug/Flying,Sinnoh
427,Pachirisu,Electric,Sinnoh
428,Buizel,Water,Sinnoh
429,Floatzel,Water,Sinnoh
430,Cherubi,Grass,Sinnoh
431,Cherrim,Grass,Sinnoh
432,Shellos,Water,Sinnoh
433,Gastrodon,Water/Ground,Sinnoh
434,Ambipom,Normal,Sinnoh
435,Drifloon,Ghost/Flying,Sinnoh
436,Drifblim,Ghost/Flying,Sinnoh
437,Buneary,Normal,Sinnoh
438,Lopunny,Normal,Sinnoh
439,Mismagius,Ghost,Sinnoh
440,Honchkrow,Dark/Flying,Sinnoh
441,Glameow,Normal,Sinnoh
442,Purugly,Normal,Sinnoh
443,Chingling,Psychic,Sinnoh
444,Stunky,Poison/Dark,Sinnoh
445,Skuntank,Poison/Dark,Sinnoh
446,Bronzor,Steel/Psychic,Sinnoh
447,Bronzong,Steel/Psychic,Sinnoh
448,Bonsly,Rock,Sinnoh
449,Mime Jr.,Psychic/Fairy,Sinnoh
450,Happiny,Normal,Sinnoh
451,Chatot,Normal/Flying,Sinnoh
452,Spiritomb,Ghost/Dark,Sinnoh
453,Gible,Dragon/Ground,Sinnoh
454,Gabite,Dragon/Ground,Sinnoh
455,Garchomp,Dragon/Ground,Sinnoh
456,Munchlax,Normal,Sinnoh
457,Riolu,Fighting,Sinnoh
458,Lucario,Fighting/Steel,Sinnoh
459,Hippopotas,Ground,Sinnoh
460,Hippowdon,Ground,Sinnoh
461,Skorupi,Poison/Bug,Sinnoh
462,Drapion,Poison/Dark,Sinnoh
463,Croagunk,Poison/Fighting,Sinnoh
464,Toxicroak,Poison/Fighting,Sinnoh
465,Carnivine,Grass,Sinnoh
466,Finneon,Water,Sinnoh
467,Lumineon,Water,Sinnoh
468,Mantyke,Water/Flying,Sinnoh
469,Snover,Grass/Ice,Sinnoh
470,Abomasnow,Grass/Ice,Sinnoh
471,Weavile,Dark/Ice,Sinnoh
472,Magnezone,Electric/Steel,Sinnoh
473,Lickilicky,Normal,Sinnoh
474,Rhyperior,Ground/Rock,Sinnoh
475,Tangrowth,Grass,Sinnoh
476,Electivire,Electric,Sinnoh
477,Magmortar,Fire,Sinnoh
478,Togekiss,Fairy/Flying,Sinnoh
479,Yanmega,Bug/Flying,Sinnoh
480,Leafeon,Grass,Sinnoh
481,Glaceon,Ice,Sinnoh
482,Gliscor,Ground/Flying,Sinnoh
483,Mamoswine,Ice/Ground,Sinnoh
484,Porygon-Z,Normal,Sinnoh
485,Gallade,Psychic/Fighting,Sinnoh
486,Probopass,Rock/Steel,Sinnoh
487,Dusknoir,Ghost,Sinnoh
488,Froslass,Ice/Ghost,Sinnoh
489,Rotom,Electric/Ghost,Sinnoh
490,Rotom (Heat Rotom),Electric/Fire,Sinnoh
491,Rotom (Wash Rotom),Electric/Water,Sinnoh
492,Rotom (Frost Rotom),Electric/Ice,Sinnoh
493,Rotom (Fan Rotom),Electric/Flying,Sinnoh
494,Rotom (Mow Rotom),Electric/Grass,Sinnoh
495,Uxie,Psychic,Sinnoh
496,Mesprit,Psychic,Sinnoh
497,Azelf,Psychic,Sinnoh
498,Dialga,Steel/Dragon,Sinnoh
499,Palkia,Water/Dragon,Sinnoh
500,Heatran,Fire/Steel,Sinnoh
501,Regigigas,Normal,Sinnoh
502,Giratina (Altered Forme),Ghost/Dragon,Sinnoh
503,Giratina (Origin Forme),Ghost/Dragon,Sinnoh
504,Cresselia,Psychic,Sinnoh
505,Phione,Water,Sinnoh
506,Manaphy,Water,Sinnoh
507,Darkrai,Dark,Sinnoh
508,Shaymin (Land Forme),Grass,Sinnoh
509,Shaymin (Sky Forme),Grass/Flying,Sinnoh
510,Arceus,Normal,Sinnoh
511,Victini,Psychic/Fire,Unova
512,Snivy,Grass,Unova
513,Servine,Grass,Unova
514,Serperior,Grass,Unova
515,Tepig,Fire,Unova
516,Pignite,Fire/Fighting,Unova
517,Emboar,Fire/Fighting,Unova
518,Oshawott,Water,Unova
519,Dewott,Water,Unova
520,Samurott,Water,Unova
521,Patrat,Normal,Unova
522,Watchog,Normal,Unova
523,Lillipup,Normal,Unova
524,Herdier,Normal,Unova
525,Stoutland,Normal,Unova
526,Purrloin,Dark,Unova
527,Liepard,Dark,Unova
528,Pansage,Grass,Unova
529,Simisage,Grass,Unova
530,Pansear,Fire,Unova
531,Simisear,Fire,Unova
532,Panpour,Water,Unova
533,Simipour,Water,Unova
534,Munna,Psychic,Unova
535,Musharna,Psychic,Unova
536,Pidove,Normal/Flying,Unova
537,Tranquill,Normal/Flying,Unova
538,Unfezant,Normal/Flying,Unova
539,Blitzle,Electric,Unova
540,Zebstrika,Electric,Unova
541,Roggenrola,Rock,Unova
542,Boldore,Rock,Unova
543,Gigalith,Rock,Unova
544,Woobat,Psychic/Flying,Unova
545,Swoobat,Psychic/Flying,Unova
546,Drilbur,Ground,Unova
547,Excadrill,Ground/Steel,Unova
548,Audino,Normal,Unova
549,Timburr,Fighting,Unova
550,Gurdurr,Fighting,Unova
551,Conkeldurr,Fighting,Unova
552,Tympole,Water,Unova
553,Palpitoad,Water/Ground,Unova
554,Seismitoad,Water/Ground,Unova
555,Throh,Fighting,Unova
556,Sawk,Fighting,Unova
557,Sewaddle,Bug/Grass,Unova
558,Swadloon,Bug/Grass,Unova
559,Leavanny,Bug/Grass,Unova
560,Venipede,Bug/Poison,Unova
561,Whirlipede,Bug/Poison,Unova
562,Scolipede,Bug/Poison,Unova
563,Cottonee,Grass/Fairy,Unova
564,Whimsicott,Grass/Fairy,Unova
565,Petilil,Grass,Unova
566,Lilligant,Grass,Unova
567,Basculin (Red-Striped Form),Water,Unova
568,Basculin (Blue-Striped Form),Water,Unova
569,Sandile,Ground/Dark,Unova
570,Krokorok,Ground/Dark,Unova
571,Krookodile,Ground/Dark,Unova
572,Darumaka,Fire,Unova
573,Darmanitan (Standard Mode),Fire,Unova
574,Darmanitan (Zen Mode),Fire/Psychic,Unova
575,Maractus,Grass,Unova
576,Dwebble,Bug/Rock,Unova
577,Crustle,Bug/Rock,Unova
578,Scraggy,Dark/Fighting,Unova
579,Scrafty,Dark/Fighting,Unova
580,Sigilyph,Psychic/Flying,Unova
581,Yamask,Ghost,Unova
582,Cofagrigus,Ghost,Unova
583,Tirtouga,Water/Rock,Unova
584,Carracosta,Water/Rock,Unova
585,Archen,Rock/Flying,Unova
586,Archeops,Rock/Flying,Unova
587,Trubbish,Poison,Unova
588,Garbodor,Poison,Unova
589,Zorua,Dark,Unova
590,Zoroark,Dark,Unova
591,Minccino,Normal,Unova
592,Cinccino,Normal,Unova
593,Gothita,Psychic,Unova
594,Gothorita,Psychic,Unova
595,Gothitelle,Psychic,Unova
596,Solosis,Psychic,Unova
597,Duosion,Psychic,Unova
598,Reuniclus,Psychic,Unova
599,Ducklett,Water/Flying,Unova
600,Swanna,Water/Flying,Unova
601,Vanillite,Ice,Unova
602,Vanillish,Ice,Unova
603,Vanilluxe,Ice,Unova
604,Deerling,Normal/Grass,Unova
605,Sawsbuck,Normal/Grass,Unova
606,Emolga,Electric/Flying,Unova
607,Karrablast,Bug,Unova
608,Escavalier,Bug/Steel,Unova
609,Foongus,Grass/Poison,Unova
610,Amoonguss,Grass/Poison,Unova
611,Frillish,Water/Ghost,Unova
612,Jellicent,Water/Ghost,Unova
613,Alomomola,Water,Unova
614,Joltik,Bug/Electric,Unova
615,Galvantula,Bug/Electric,Unova
616,Ferroseed,Grass/Steel,Unova
617,Ferrothorn,Grass/Steel,Unova
618,Klink,Steel,Unova
619,Klang,Steel,Unova
620,Klinklang,Steel,Unova
621,Tynamo,Electric,Unova
622,Eelektrik,Electric,Unova
623,Eelektross,Electric,Unova
624,Elgyem,Psychic,Unova
625,Beheeyem,Psychic,Unova
626,Litwick,Ghost/Fire,Unova
627,Lampent,Ghost/Fire,Unova
628,Chandelure,Ghost/Fire,Unova
629,Axew,Dragon,Unova
630,Fraxure,Dragon,Unova
631,Haxorus,Dragon,Unova
632,Cubchoo,Ice,Unova
633,Beartic,Ice,Unova
634,Cryogonal,Ice,Unova
635,Shelmet,Bug,Unova
636,Accelgor,Bug,Unova
637,Stunfisk,Ground/Electric,Unova
638,Mienfoo,Fighting,Unova
639,Mienshao,Fighting,Unova
640,Druddigon,Dragon,Unova
641,Golett,Ground/Ghost,Unova
642,Golurk,Ground/Ghost,Unova
643,Pawniard,Dark/Steel,Unova
644,Bisharp,Dark/Steel,Unova
645,Bouffalant,Normal,Unova
646,Rufflet,Normal/Flying,Unova
647,Braviary,Normal/Flying,Unova
648,Vullaby,Dark/Flying,Unova
649,Mandibuzz,Dark/Flying,Unova
650,Heatmor,Fire,Unova
651,Durant,Bug/Steel,Unova
652,Deino,Dark/Dragon,Unova
653,Zweilous,Dark/Dragon,Unova
654,Hydreigon,Dark/Dragon,Unova
655,Larvesta,Bug/Fire,Unova
656,Volcarona,Bug/Fire,Unova
657,Cobalion,Steel/Fighting,Unova
658,Terrakion,Rock/Fighting,Unova
659,Virizion,Grass/Fighting,Unova
660,Tornadus (Incarnate Forme),Flying,Unova
661,Tornadus (Therian Forme),Flying,Unova
662,Thundurus (Incarnate Forme),Electric/Flying,Unova
663,Thundurus (Therian Forme),Electric/Flying,Unova
664,Reshiram,Dragon/Fire,Unova
665,Zekrom,Dragon/Electric,Unova
666,Landorus (Incarnate Forme),Ground/Flying,Unova
667,Landorus (Therian Forme),Ground/Flying,Unova
668,Kyurem,Dragon/Ice,Unova
669,Kyurem (White Kyurem),Dragon/Ice,Unova
670,Kyurem (Black Kyurem),Dragon/Ice,Unova
671,Keldeo (Ordinary Form),Water/Fighting,Unova
672,Keldeo (Resolute Form),Water/Fighting,Unova
673,Meloetta (Aria Forme),Normal/Psychic,Unova
674,Meloetta (Pirouette Forme),Normal/Fighting,Unova
675,Genesect,Bug/Steel,Unova
676,Venusaur (Mega Venusaur),Grass/Poison,Kalos
677,Charizard (Mega Charizard X),Fire/Dragon,Kalos
678,Charizard (Mega Charizard Y),Fire/Flying,Kalos
679,Blastoise (Mega Blastoise),Water,Kalos
680,Beedrill (Mega Beedrill),Bug/Poison,Kalos
681,Pidgeot (Mega Pidgeot),Normal/Flying,Kalos
682,Alakazam (Mega Alakazam),Psychic,Kalos
683,Slowbro (Mega Slowbro),Water/Psychic,Kalos
684,Gengar (Mega Gengar),Ghost/Poison,Kalos
685,Kangaskhan (Mega Kangaskhan),Normal,Kalos
686,Pinsir (Mega Pinsir),Bug/Flying,Kalos
687,Gyarados (Mega Gyarados),Water/Dark,Kalos
688,Aerodactyl (Mega Aerodactyl),Rock/Flying,Kalos
689,Mewtwo (Mega Mewtwo X),Psychic/Fighting,Kalos
690,Mewtwo (Mega Mewtwo Y),Psychic,Kalos
691,Ampharos (Mega Ampharos),Electric/Dragon,Kalos
692,Steelix (Mega Steelix),Steel/Ground,Kalos
693,Scizor (Mega Scizor),Bug/Steel,Kalos
694,Heracross (Mega Heracross),Bug/Fighting,Kalos
695,Houndoom (Mega Houndoom),Dark/Fire,Kalos
696,Tyranitar (Mega Tyranitar),Rock/Dark,Kalos
697,Sceptile (Mega Sceptile),Grass/Dragon,Kalos
698,Blaziken (Mega Blaziken),Fire/Fighting,Kalos
699,Swampert (Mega Swampert),Water/Ground,Kalos
700,Gardevoir (Mega Gardevoir),Psychic/Fairy,Kalos
701,Sableye (Mega Sableye),Dark/Ghost,Kalos
702,Mawile (Mega Mawile),Steel/Fairy,Kalos
703,Aggron (Mega Aggron),Steel,Kalos
704,Medicham (Mega Medicham),Fighting/Psychic,Kalos
705,Manectric (Mega Manectric),Electric,Kalos
706,Sharpedo (Mega Sharpedo),Water/Dark,Kalos
